730/660,940/660,940/730
1.1290220770105577,0.36927585751654163,0.32707585177990145
1.109911873560736,0.33955586825938255,0.3059304764170554
1.0965392076591243,0.3185045464506003,0.29046343644249534
1.13609000483446,0.3147589291187042,0.27705457118652127
1.127055276875091,0.3072259738979888,0.2725917532188955
1.1334208207322523,0.3062080044813131,0.27016267822174456
1.1627155173070551,0.318023646619481,0.2735180204320744
1.1911471651576704,0.3127982204366424,0.2626024974800135
1.1390264481583645,0.3040974104211475,0.26698011351082107
1.1927409088865446,0.3072761366497801,0.2576218643633432
1.1695220507787578,0.3008123868666739,0.2572096752398724
