wavelength,sds,skin,fat,muscle,artery
660,13.0,1.664744257926941,1.7228103876113892,37.883216857910156,0.2796924412250519
660,14.0,1.6746089458465576,1.7354811429977417,38.89548873901367,0.22708068788051605
660,15.0,1.681812763214111,1.7435678243637085,39.99413299560547,0.186526283621788
660,16.0,1.6866532564163208,1.7513755559921265,40.94562530517578,0.16166560351848602
660,17.0,1.689394474029541,1.7537440061569214,41.74136734008789,0.14697235822677612
660,18.0,1.6911646127700806,1.757256031036377,42.61763000488281,0.13311350345611572
660,19.0,1.6932072639465332,1.7607818841934204,43.31837844848633,0.12224669009447098
660,20.0,1.6930493116378784,1.7599341869354248,44.0766830444336,0.11216796189546584
660,21.0,1.6938486099243164,1.7612167596817017,44.75923538208008,0.10790713131427764
660,22.0,1.6943912506103516,1.7643649578094482,45.19640731811523,0.1004234105348587
660,23.0,1.6947256326675415,1.7641143798828125,45.9278793334961,0.09377162158489227
730,13.0,1.9670573472976685,2.014153242111206,46.23005294799805,0.3157789409160614
730,14.0,1.9810042381286619,2.029236316680908,47.56258010864258,0.2520395517349243
730,15.0,1.9879591464996336,2.041803359985352,48.90951538085938,0.2045333832502365
730,16.0,1.9954509735107424,2.048806667327881,49.86652374267578,0.1836666762828827
730,17.0,1.9986399412155151,2.055408239364624,50.644737243652344,0.16564597189426422
730,18.0,2.002542734146118,2.061321496963501,51.65414047241211,0.15087361633777618
730,19.0,2.0020279884338383,2.0598256587982178,52.46171951293945,0.14213812351226807
730,20.0,2.004162311553955,2.062499761581421,53.248023986816406,0.13360854983329773
730,21.0,2.006502389907837,2.0662574768066406,53.9744873046875,0.1229090765118599
730,22.0,2.0074868202209477,2.0687503814697266,54.75639343261719,0.11977910995483397
730,23.0,2.0079393386840816,2.073080539703369,55.22260284423828,0.10966797918081284
940,13.0,1.3413472175598145,1.3615750074386597,33.465686798095696,0.10328366607427596
940,14.0,1.349652886390686,1.3716162443161009,34.34954071044922,0.07710658013820648
940,15.0,1.353481650352478,1.3764487504959106,35.06650161743164,0.059409469366073615
940,16.0,1.3532767295837402,1.3797523975372314,35.54254531860352,0.05088569223880768
940,17.0,1.3475311994552612,1.3740377426147459,36.074302673339844,0.045153725892305374
940,18.0,1.34356427192688,1.3731851577758791,36.54543685913086,0.04076042026281357
940,19.0,1.3404779434204102,1.3697388172149658,36.889122009277344,0.03887733817100525
940,20.0,1.3330440521240234,1.362350344657898,37.38440322875977,0.03508593887090683
940,21.0,1.328959345817566,1.3589383363723757,37.72550964355469,0.032814279198646545
940,22.0,1.3260308504104614,1.3590186834335327,38.00630187988281,0.03085771761834621
940,23.0,1.3204593658447266,1.3509184122085571,38.397361755371094,0.028207665309309963
